# Mirror of deadmanoz/merge-mining-research data/error-blocks/error_blocks.csv
# Source commit: c26e86cf048c350dd5dbf40d48205627d1c6da95
# Fields intentionally retained here: canonical BTC height, display-order hash,
# and the primary mechanically re-derived consensus violation.
height,hash,rejection_reason
225013,000000000000037f2cc0769d4244cf50f1cace4ab76b0b4adb31010e10150708,bip34_v2_coinbase_height_mismatch
225015,000000000000015437122b60d0a1d2ed7e1f98b5b292e886d6ca62042bba2035,bip34_v2_coinbase_height_mismatch
225134,00000000000003abc9b545f105aec0a14cab2b65665f967b2527b61bb25e21bd,bip34_v2_coinbase_height_mismatch
225145,00000000000001a3aa38003bb99c2bb16dc48dfcf5542ddf86139e639ff51433,bip34_v2_coinbase_height_mismatch
225221,0000000000000386f943ff46dbf220fed2ef2ce55214d6fce868db21507ddc99,bip34_v2_coinbase_height_mismatch
225430,00000000000001468e0b21b62cd0b41ec317eeeaa5afc0a8df43c01180e57f7f,bip34_v2_coinbase_height_mismatch
225430,000000000000017c4a0a7be4244a3b2c0dd41f884586ad8de78356a0994e8960,bip34_v2_coinbase_height_mismatch
225464,0000000000000085a485d05c96051ff43ea70b8868d7373df9de771ca65b52c9,bip34_v2_coinbase_height_mismatch
226230,000000000000004cf2026785b16399bea2abab0f8b8a82d070ac0db40a06b3cb,bip34_v2_coinbase_height_mismatch
226845,00000000000000c37c3327de7555db3e3dbe91cbe0294e532f8a32574d5b997d,bip34_v2_coinbase_height_mismatch
226895,000000000000030a6d0a4a0c91af3610843d170594eac75cc8a0e16390ba9559,bip34_v2_coinbase_height_mismatch
226912,00000000000000a34d399a3cb82e222fad8e73e465b905e333ada1662c61e0e0,bip34_v2_coinbase_height_mismatch
229388,00000000000000329b2b44eca61829f13c94bbafb35022f13e49ffff279e3f03,bip34_coinbase_height_mismatch
229388,000000000000008af04b94d8286fe0e8d0aea3b2f35e758ef1e73e153169fa58,bip34_coinbase_height_mismatch
229388,00000000000001365d20401c25e9c8c1bc1570f99a943bc1575b20e16d77a18c,bip34_coinbase_height_mismatch
229388,00000000000001fb5262fee5a4b0e93f1274226980cc0893dcaa9dd9e1187f95,bip34_coinbase_height_mismatch
229388,0000000000000239bfc9b6f400b5b02ab401077bdc470d082e3da34276925cc8,bip34_coinbase_height_mismatch
229388,000000000000024fc7ce00ec89295323699886784960f68a04f4a4871b61caa8,bip34_coinbase_height_mismatch
277975,0000000000000000de6f0b2978aa2b268cb9a54c5de6d21f97d17c6b0ff0ac3f,coinbase_scriptsig_length_above_100
331735,000000000000000010d43fb3f8d02cab156f333f2bfc172de9e6d87359118a1a,bip34_coinbase_height_mismatch
363967,00000000000000000954ed93eda1e79e8261137548fa9ccf4d516bb384a3660b,bip66_block_version_below_3
364341,000000000000000012aac0664cd8b6cbc3ea485921a05f2c4340f928b0226d3c,bip66_block_version_below_3
367047,00000000000000000f93ba8faf8bb018c7db642e30391748860cbfa5803a32a4,bip66_block_version_below_3
380992,0000000000000000084ee972bfe620224e6893448a9001d2b1f236ede0423779,median_time_past_violation
383540,000000000000000009c55c7e380b7600a2966de1b79230c74212d9c45a91a50b,bip34_coinbase_height_mismatch
389043,00000000000000000306ea979ad487157d2950081413eb9d2dca82060f1b89b2,bip65_block_version_below_4
543804,0000000000000000000c958fe3563e7e3ecda8e35e6d6ecce4d5693cec1f1918,bip65_block_version_below_4
544024,0000000000000000001ac59b46b44a9e525bc03a5cd2e138a8ae684445fa6ed8,bip65_block_version_below_4
544024,0000000000000000001ffb5988298bfc9f528f9a47e6062ebe8a01177af25d21,bip65_block_version_below_4
544600,000000000000000000188a6aecb603cb6a068ad236f925255a491124b5c5dc8a,bip65_block_version_below_4
649674,00000000000000000008c80c1f8c101f8aa1fabd59d63ab1350bd1d5dba425e6,bip34_coinbase_height_missing
717696,0000000000000000000045c5040bf46b4cd6c6f8f4004c149cd602e4e356e71c,nbits_retarget_not_applied
789038,0000000000000000000291349d44e756df07ce08d848df0ca0bbd9884af393ed,bip34_coinbase_height_mismatch
946213,00000000000000000000c3d95a4bdc068dfe0c6d1e7ad13045c6f570e58d9ed7,time_below_mtp
957780,0000000000000000000198e12592edbe83c84a78f75b3f8d67a3fe2075ef2ffb,time_below_mtp
